perfil,estado
@natppaim,Rio de Janeiro
@p.rolrols,Rio de Janeiro
@gotoworkpio,Rio de Janeiro
@flavia105,Rio de Janeiro
@patinsjf,Rio de Janeiro
@marcelamaiques,Rio de Janeiro
@loriquadskates50,Rio de Janeiro
@ju_carvalho27,Rio de Janeiro
@blissonwheelz,Rio de Janeiro
@haoleskater,Rio de Janeiro
@a.marralaura,Rio de Janeiro
@lulu_rolls,Rio de Janeiro
@nenajensen,Rio de Janeiro
@peppermint_sk8,Rio de Janeiro
@carinargeyer,Rio de Janeiro
@_danielaolive,Rio de Janeiro
@isabelazamith,Rio de Janeiro
@tigerbauer_28,Rio de Janeiro
@mayrollerskate,Rio de Janeiro
@juebelopes,Rio de Janeiro
@brrruna_,Rio de Janeiro
@outbeck,Rio de Janeiro
@_alyne_,Rio de Janeiro
@gabilly54,Rio de Janeiro
@kika__cordova,Rio de Janeiro
@carlanataliasouza,Rio de Janeiro
@4na.m.machado,Rio de Janeiro
@analumnsr,Rio de Janeiro
@bbbeatrizzzzz,Rio de Janeiro
@alicemxdo,Rio de Janeiro
@marynaoesta,Rio de Janeiro
@euisasouzaa,Rio de Janeiro
@sophi_guimaraes,Rio de Janeiro
@cleo.bicho,Rio de Janeiro
@lanes0104,Rio de Janeiro
@ecoeco__,Rio de Janeiro
@nattybrooke,Rio de Janeiro
@pipavoaaada,Rio de Janeiro
@thaisguttler,Rio de Janeiro
@dauanamarcondes,Rio de Janeiro
@atomx___,Rio de Janeiro
@tipomarcella,Rio de Janeiro
@mansmb,Rio de Janeiro
@mayaralista,Rio de Janeiro
@perini.danielle,Rio de Janeiro
@euisasouzaa,Rio de Janeiro
@bordacoraline,Rio de Janeiro
@m.a.milena,Rio de Janeiro
@loretbh,Rio de Janeiro
@ju_sunquads,Rio de Janeiro
@deusa_gregah,Rio de Janeiro
@patinagabby,Rio de Janeiro
@k.arensousa,Rio de Janeiro
@giselaaalves,Rio de Janeiro
@lcpsdois,Rio de Janeiro
@barcelss,Rio de Janeiro
@almaragao,Rio Grande do Norte
@karolporpino,Rio Grande do Norte
@litavictorino,Rio Grande do Norte
@rollerskt,Rio Grande do Sul
@julianasiqra,Rio Grande do Sul
@paollagr,Rio Grande do Sul
@jaquemadke,Rio Grande do Sul
@fernandavargasv,Rio Grande do Sul
@flavia_hocevar,Rio Grande do Sul
@jojoverse,Rio Grande do Sul
@elenjeanine,Rio Grande do Sul
@patinaebrisapoa,Rio Grande do Sul
@sophi_guimaraes,Rio Grande do Sul
@deboritzz,Rio Grande do Sul
@naoclica,Rio Grande do Sul
@viihm,Rio Grande do Sul
@dni.roussely,Rio Grande do Sul
@verdiener,Rio Grande do Sul
@isaluft,Rio Grande do Sul
@anna.rollerskating,Rio Grande do Sul
@alisipaz,Rio Grande do Sul
@aisisnaoehipster,Rio Grande do Sul
@izadoranetz,Rio Grande do Sul
@maxybianchi,Rio Grande do Sul
@cristianatrecha,Rio Grande do Sul
@susandeisi.w,Rio Grande do Sul
@julialm,Rio Grande do Sul 
@dfonsecca,Rio Grande do Sul
@volatilx,Santa Catarina
@ymamusic,Santa Catarina
@ptinajaragua,Santa Catarina
@___camilacamila,Santa Catarina
@kau_a,Santa Catarina
@gabitvardowski,Santa Catarina
@serialkiki,Santa Catarina
@tatiane_tais,Santa Catarina
@vitoria.srs,Santa Catarina
@emidiopsi,Santa Catarina
@perincesinha,Santa Catarina
@majubafs,Santa Catarina
@susandeisi.w,Santa Catarina
@emilymdes,Santa Catarina
@fernanda_angelyi,Santa Catarina
@nmadrug4,Santa Catarina
@lucianeleopoldina,Santa Catarina
@sarasetter,Santa Catarina
@jessicakuhnen_,Santa Catarina
@febiasoli,Santa Catarina
@lelisbang,Santa Catarina
@larissagds,Santa Catarina
@leticiailuz,Santa Catarina
@lorenaluquettax,Santa Catarina
@cahcarvalhotattoo,Santa Catarina
@evelynhighness,Santa Catarina
@fiosdeourodalaura,Santa Catarina
@oipoly,Santa Catarina
@_vandiva,São Paulo
@pammysart_,São Paulo
@lunes__a__viernes,São Paulo
@anandinhainha,São Paulo
@deusaafroditte,São Paulo
@patinabia,São Paulo
@jecsxx,São Paulo
@roller.sol,São Paulo
@feh.kmilli,São Paulo
@mychael160,São Paulo
@ymamusic,São Paulo
@mavigrisi,São Paulo
@uhusarah,São Paulo
@xuliadoquad,São Paulo
@lisdrl,São Paulo
@pammysart_,São Paulo
@cams.xx,São Paulo
@santana.faela,São Paulo
@fee.guber,São Paulo
@gnomida,São Paulo
@maelymagrini,São Paulo
@carolirra,São Paulo
@j_mandrade,São Paulo
@trentini_,São Paulo
@@marianaplaza,São Paulo
@laizika,São Paulo
@carlapuccinelli,São Paulo
@ab.rossato,São Paulo
@renata_cblzz,São Paulo
@paulahorn,São Paulo
@laisabelladejour,São Paulo
@adrianaeasgemeas,São Paulo
@barretomaps,São Paulo
@jaseocaos,São Paulo
@nas_skate,São Paulo
@riotgrrrl17,São Paulo
@lwissa.ink_,São Paulo
@leandrars_,São Paulo
@gikokko,São Paulo
@andie.amorim,São Paulo
@cacazerbini,São Paulo
@isisfossati,São Paulo
@oldrine,São Paulo
@allana_natasha,São Paulo
@euisasouzaa,São Paulo
@luadiphusa,São Paulo
@dessapatinadora,São Paulo
@cani_damara,São Paulo
@stslv_,São Paulo
@jesscomin,São Paulo
@karolaoc,São Paulo
@perincesinha,São Paulo
@patinxaria,São Paulo
@nectharina,São Paulo
@patina.c,São Paulo
@bserrano,São Paulo
@man__dyy,São Paulo
@carlafortunattt,São Paulo
@brunagiovann4,São Paulo
@mamgi,São Paulo
@coralinepavs,São Paulo
@clara_catarinaa,São Paulo
@heloisaslima,São Paulo
@babiagnes,São Paulo
@anafoleis,São Paulo
@laripires1,São Paulo
@sk8.na,São Paulo
@ya_gp,São Paulo
@piu_ole,São Paulo
@k.tainax,São Paulo
@thaiovg,São Paulo
@mmrcella,São Paulo
@ester_amane,São Paulo
@______yale,São Paulo
@jan.skating,São Paulo
@mezzstreet,São Paulo
@erika.benesi,São Paulo
@natharocha,São Paulo
@fefafaz,São Paulo
@anaxvt,São Paulo
@yah.andrade,São Paulo
@gabinerysil,São Paulo
@biscoutinhos,São Paulo
@carolmiguelt,São Paulo
@vixcil,São Paulo
@isabrabello,São Paulo
@chermount_,São Paulo
@yasminnvaz,São Paulo
@nicollevictoria_,São Paulo
@estoujanaina,São Paulo
@alt.sal,São Paulo
@mvy.exe,São Paulo
@_ju_lass,São Paulo
@rafanola,São Paulo
@partiu_patinar,São Paulo
@larafalls_,São Paulo
@stonedgaia,São Paulo
@key_50mm,São Paulo
@mimapatina,São Paulo
@black.juju,São Paulo
@nevess_bia,São Paulo
@thaixchaves,São Paulo
@lenasentrelinhas,São Paulo
@iisacabral,São Paulo
@ibrabello,São Paulo
@danny.resistencia,São Paulo
@allexthais,São Paulo
@brrruna_,São Paulo
@fehrodrigues108,São Paulo
@ta_batatinha,São Paulo
@_hellall_,São Paulo
@rafaelavieiralima,São Paulo
@euisasouzaa,São Paulo
@quelobo,São Paulo
@annajusp,São Paulo
@hiyamandi,São Paulo
@driade.skt,São Paulo
@jessicabribeiro_,São Paulo
@elisacarvalho_,São Paulo
@appleofthedevil,São Paulo
@persancarol,São Paulo
@heypathy,São Paulo
@belamuri,São Paulo
@miilke,São Paulo
@danisrollerskates,São Paulo
@mvy.exe,São Paulo
@be.adren.aline,São Paulo
@rah.cellos,São Paulo
@maridagallera_,São Paulo
@leticia_luciano,São Paulo
@mourarobs,São Paulo
@jessica.fuscazul,São Paulo
@_luquesia_,São Paulo
@carolmech,São Paulo
@ll.uaa,São Paulo
@kellslt,São Paulo
@nanamairynck,São Paulo
@aghatacatarino,São Paulo
@chrisholopainen,São Paulo
@be4trizzzzz,São Paulo
@naathaliafugazzotto,São Paulo
@saraaregina,São Paulo
@noddemixx,São Paulo
@neotropicah,Sergipe
@laellia83,Sergipe
@giovnn.a,Sergipe
@shawtyrolling,Sergipe
@ttorita,Sergipe
@bruna.rollersk8,Sergipe
@duudsmrv,Sergipe
@jgabriellal,Sergipe
@patinsquadsergipe,Sergipe
@mrianafonseca,Sergipe
@marianoerika,Tocantins
